subject_id,cohort,session,have_tp1,have_tp2,have_tp3,failed_QC,missing_demographics
I010,I,tp1,yes,no,no,,
I011,I,tp1,yes,no,no,,
I012,I,tp1,yes,no,yes,,
I012,I,tp3,yes,no,yes,,
I013,I,tp1,yes,no,no,,
I014,I,tp1,yes,no,no,,
I015,I,tp1,yes,no,no,,
I017,I,tp1,yes,no,no,,
I018,I,tp3,no,no,yes,,
I019,I,tp1,yes,no,yes,,
I019,I,tp3,yes,no,yes,,
I020,I,tp1,yes,no,yes,,
I020,I,tp3,yes,no,yes,,
I021,I,tp1,yes,no,no,,
I023,I,tp1,yes,no,no,,
I024,I,tp1,yes,no,no,,
I026,I,tp1,yes,no,no,,
I027,I,tp1,yes,no,no,,
I028,I,tp1,yes,no,no,,
I029,I,tp1,yes,no,no,,
I030,I,tp1,yes,no,yes,,
I030,I,tp3,yes,no,yes,,
I031,I,tp1,yes,no,no,yes,
I032,I,tp1,yes,no,yes,,
I032,I,tp3,yes,no,yes,,
I033,I,tp1,yes,yes,yes,,
I033,I,tp2,yes,yes,yes,,
I033,I,tp3,yes,yes,yes,yes,
I037,I,tp1,yes,no,yes,,
I037,I,tp3,yes,no,yes,yes,
I038,I,tp1,yes,no,no,,
I039,I,tp1,yes,no,no,,
I041,I,tp1,yes,yes,yes,,
I041,I,tp2,yes,yes,yes,,
I041,I,tp3,yes,yes,yes,,
I042,I,tp1,yes,no,no,,
I043,I,tp1,yes,yes,yes,,
I043,I,tp2,yes,yes,yes,,
I043,I,tp3,yes,yes,yes,,
I044,I,tp1,yes,no,yes,,
I044,I,tp3,yes,no,yes,,
I045,I,tp1,yes,no,yes,,
I045,I,tp3,yes,no,yes,,
I046,I,tp1,yes,no,no,,
I047,I,tp1,yes,no,yes,,
I047,I,tp3,yes,no,yes,,
I048,I,tp1,yes,no,yes,,
I048,I,tp3,yes,no,yes,,
I049,I,tp1,yes,no,no,,
I050,I,tp1,yes,no,yes,,
I050,I,tp3,yes,no,yes,,
I051,I,tp1,yes,no,yes,yes,
I051,I,tp3,yes,no,yes,,
I052,I,tp1,yes,no,no,,
I053,I,tp1,yes,yes,no,,
I053,I,tp2,yes,yes,no,,
I054,I,tp1,yes,no,yes,,
I054,I,tp3,yes,no,yes,yes,
I055,I,tp1,yes,no,no,,
I056,I,tp1,yes,no,no,,
I057,I,tp1,yes,no,no,,
I058,I,tp1,yes,no,no,,
I059,I,tp1,yes,no,no,,
I060,I,tp1,yes,no,yes,,
I060,I,tp3,yes,no,yes,,
I061,I,tp1,yes,no,no,yes,
I062,I,tp1,yes,no,no,yes,
I065,I,tp1,yes,no,no,,
I066,I,tp1,yes,no,yes,,
I066,I,tp3,yes,no,yes,,
I068,I,tp1,yes,no,yes,,
I068,I,tp3,yes,no,yes,,
I069,I,tp1,yes,no,yes,,
I069,I,tp3,yes,no,yes,,
I070,I,tp1,yes,no,no,,
I071,I,tp1,yes,no,no,,
I074,I,tp1,yes,no,no,,
