roi,feature_base,feature_name,n,mean_pre,mean_post,mean_delta,median_delta,sd_delta,t_stat,p_ttest,w_stat,p_wilcoxon,cohens_d_paired,rank_biserial,q_ttest_fdr,q_wilcoxon_fdr,abs_mean_delta
Right_Hippocampus,Right_Hippocampus_original_shape_VoxelVolume,original_shape_VoxelVolume,96,4429.802083333333,4457.5,27.697916666666668,28.0,107.40235416332624,2.5267886649222056,0.013163470316112511,1634.5,0.011265913849716841,0.25788928820448925,0.2978951890034365,0.3019985740098378,0.23938300513070013,27.697916666666668
Right_Hippocampus,Right_Hippocampus_original_shape_MeshVolume,original_shape_MeshVolume,96,4381.043402777778,4408.618923611112,27.575520833333282,30.6875,106.78832414502294,2.5300876654426574,0.013048249488706826,1649.0,0.013091258093085163,0.25822599103516775,0.29166666666666663,0.3019985740098378,0.23938300513070013,27.575520833333282
Left_Hippocampus,Left_Hippocampus_original_shape_MeshVolume,original_shape_MeshVolume,96,4327.143663194445,4352.669704861112,25.52604166666664,26.749999999999545,104.20700574187485,2.400060410189117,0.018341909266573177,1645.0,0.012563856359352352,0.2449551398674262,0.29338487972508587,0.3019985740098378,0.23938300513070013,25.52604166666664
Right_Hippocampus,Right_Hippocampus_original_shape_SurfaceArea,original_shape_SurfaceArea,96,2459.2863231274337,2473.215159302516,13.928836175082061,10.253000154010806,45.4472046813433,3.0029165999533443,0.003417577233353405,1601.0,0.007891338347726741,0.3064838920841272,0.3122852233676976,0.3019985740098378,0.23938300513070013,13.928836175082061
Left_Hippocampus,Left_Hippocampus_original_firstorder_Minimum,original_firstorder_Minimum,96,30.90625,29.145833333333332,-1.7604166666666667,-2.0,6.735209591810341,-2.560943358477138,0.012013676136792151,1390.0,0.012094982854807618,-0.26137518701826895,0.3058676654182272,0.3019985740098378,0.23938300513070013,1.7604166666666667
Left_Hippocampus,Left_Hippocampus_original_shape_SurfaceVolumeRatio,original_shape_SurfaceVolumeRatio,96,0.5655325963018388,0.5628271922168467,-0.0027054040849920206,-0.00251170072767698,0.010051576589714907,-2.6371423416511504,0.009768018064432607,1599.0,0.00772192657235769,-0.2691522131722377,0.3131443298969072,0.3019985740098378,0.23938300513070013,0.0027054040849920206
Left_Hippocampus,Left_Hippocampus_original_shape_VoxelVolume,original_shape_VoxelVolume,96,4362.71875,4387.416666666667,24.697916666666668,27.0,103.80793193420308,2.3311241218622443,0.021861268460876014,1645.5,0.012625088867477522,0.2379193594023338,0.29317010309278346,0.31091581811023666,0.23938300513070013,24.697916666666668
Right_Hippocampus,Right_Hippocampus_original_shape_MinorAxisLength,original_shape_MinorAxisLength,96,23.149105744622307,23.244422741121763,0.09531699649945675,0.0811460535321249,0.37471106452077785,2.492352399968942,0.014421872687602179,1674.0,0.016852076614219218,0.25437465163020667,0.2809278350515464,0.3019985740098378,0.24669104936293218,0.09531699649945675
Left_Hippocampus,Left_Hippocampus_original_shape_Maximum3DDiameter,original_shape_Maximum3DDiameter,96,47.48632647317309,47.65226900912438,0.16594253595128947,0.15057865556525485,0.7417490907961106,2.191978634003301,0.030824491935085373,1639.0,0.01734546440833117,0.22371788251629035,0.281140350877193,0.3945534967690928,0.24669104936293218,0.16594253595128947
Left_Hippocampus,Left_Hippocampus_original_firstorder_Mean,original_firstorder_Mean,96,86.38672734295596,85.98109019825326,-0.40563714470271695,-0.5760576179630945,2.178820928020952,-1.8241132393448465,0.0712786892749595,1718.0,0.025805283329354882,-0.18617277789375825,0.26202749140893467,0.5824268126524335,0.3303076266157425,0.40563714470271695
Left_Thalamus,Left_Thalamus_original_shape_SurfaceVolumeRatio,original_shape_SurfaceVolumeRatio,96,0.32341839311362314,0.3243723585213029,0.0009539654076797499,0.0006432699010084919,0.003912637791509661,2.388903451428262,0.018874910875614864,1731.0,0.02913732706081875,0.24381643753220247,0.25644329896907214,0.3019985740098378,0.3390525330713455,0.0009539654076797499
Left_Thalamus,Left_Thalamus_original_shape_MeshVolume,original_shape_MeshVolume,96,7930.933159722222,7888.936631944444,-41.9965277777778,-20.52083333333394,195.36269039716953,-2.106237661142815,0.03781998075464021,1800.0,0.05367158360053118,-0.2149669811180398,0.22680412371134018,0.41984540593617337,0.49891243426366055,41.9965277777778
Left_Thalamus,Left_Thalamus_original_shape_VoxelVolume,original_shape_VoxelVolume,96,7968.739583333333,7926.75,-41.989583333333336,-17.0,196.9209563460568,-2.0892251507857162,0.03936050680651625,1806.5,0.05667994812652158,-0.21323064905059377,0.22401202749140892,0.41984540593617337,0.49891243426366055,41.989583333333336
Left_Hippocampus,Left_Hippocampus_original_shape_Sphericity,original_shape_Sphericity,96,0.5261387023960875,0.5275731089701058,0.0014344065740182928,0.0012753856776504535,0.006887385778164645,2.0405792869496353,0.04406747841331193,1818.0,0.06236405428295757,0.20826575136328931,0.2190721649484536,0.4338951720695328,0.49891243426366055,0.0014344065740182928
Left_Hippocampus,Left_Hippocampus_original_firstorder_10Percentile,original_firstorder_10Percentile,96,71.65625,71.04791666666667,-0.6083333333333331,-1.0,3.285427687184623,-1.8142006485250193,0.07280335158155418,1336.0,0.06169425062330174,-0.1851610783296927,0.23350545037292025,0.5824268126524335,0.49891243426366055,0.6083333333333331
Left_Hippocampus,Left_Hippocampus_original_firstorder_RootMeanSquared,original_firstorder_RootMeanSquared,96,87.82173991644537,87.4381965301285,-0.38354338631687374,-0.4190368524287038,2.3231886293731523,-1.6175795263753543,0.1090689863926607,1789.0,0.04887579888253628,-0.16509351908302092,0.23152920962199308,0.664801440869551,0.49891243426366055,0.38354338631687374
Left_Hippocampus,Left_Hippocampus_original_firstorder_Median,original_firstorder_Median,96,84.14583333333333,83.80208333333333,-0.34375,0.0,1.7700914338560385,-1.9027539097174078,0.060101016252550335,998.5,0.06954021973181582,-0.19419900770389084,0.24010654490106542,0.549495005737603,0.5235969485689661,0.34375
Left_Hippocampus,Left_Hippocampus_original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterColumn,96,32.4821244316083,32.02679243382789,-0.45533199778040095,-0.29080203836847396,2.660906818864833,-1.6766179863447834,0.09690507543598155,1809.5,0.08073576449752047,-0.17111910667155555,0.20635964912280702,0.664801440869551,0.5741209919823678,0.45533199778040095
Right_Thalamus,Right_Thalamus_original_firstorder_Skewness,original_firstorder_Skewness,96,0.9399194030545178,0.8093631990621035,-0.1305562039924142,-0.07849211739024298,0.784231404536265,-1.631131223189053,0.10617357627038804,1915.0,0.13123992297892906,-0.16647663334729015,0.17740549828178698,0.664801440869551,0.6571827550491489,0.1305562039924142
Left_Thalamus,Left_Thalamus_original_shape_Sphericity,original_shape_Sphericity,96,0.751292677134363,0.7503363176884278,-0.0009563594459352913,-0.0013416203914384806,0.005691386594879025,-1.6464126020468257,0.10298321992341038,1913.0,0.1293831199815096,-0.16803628254594424,0.1782646048109966,0.664801440869551,0.6571827550491489,0.0009563594459352913
Left_Thalamus,Left_Thalamus_original_firstorder_Energy,original_firstorder_Energy,96,72661120.01041667,72170307.875,-490812.1354166667,-419390.0,3318042.1115135783,-1.4493357840937255,0.15053695263382674,1922.0,0.13790174715780387,-0.1479222140410915,0.1743986254295533,0.7242519289428777,0.6571827550491489,490812.1354166667
Left_Thalamus,Left_Thalamus_original_firstorder_TotalEnergy,original_firstorder_TotalEnergy,96,72661120.01041667,72170307.875,-490812.1354166667,-419390.0,3318042.1115135783,-1.4493357840937255,0.15053695263382674,1922.0,0.13790174715780387,-0.1479222140410915,0.1743986254295533,0.7242519289428777,0.6571827550491489,490812.1354166667
Right_Hippocampus,Right_Hippocampus_original_firstorder_Maximum,original_firstorder_Maximum,96,194.54166666666666,190.41666666666666,-4.125,-3.0,26.28237352095006,-1.537782754807354,0.127425903560743,1852.0,0.11208724544055305,-0.15694929518872802,0.18771929824561406,0.7242519289428777,0.6571827550491489,4.125
Right_Hippocampus,Right_Hippocampus_original_firstorder_Kurtosis,original_firstorder_Kurtosis,96,9.724466728281994,9.349231497565215,-0.3752352307167773,-0.4777860677361172,2.606612534976626,-1.4104663987275232,0.16166802679341208,1928.0,0.14381676885007816,-0.14395512400930816,0.17182130584192434,0.7242519289428777,0.6571827550491489,0.3752352307167773
Left_Hippocampus,Left_Hippocampus_original_shape_Maximum2DDiameterSlice,original_shape_Maximum2DDiameterSlice,96,23.762785187578505,23.60057646333733,-0.16220872424117883,-0.3111387497562017,1.0633423681512535,-1.4946403646438553,0.1383226800307622,1710.5,0.1300499507377734,-0.1525460934310347,0.1827520305781175,0.7242519289428777,0.6571827550491489,0.16220872424117883
Left_Thalamus,Left_Thalamus_original_shape_MinorAxisLength,original_shape_MinorAxisLength,96,21.26173132887199,21.224578039655782,-0.0371532892162049,-0.03347330322112896,0.2666409013663009,-1.3652309211290794,0.1754047640408532,1933.0,0.1488929679408228,-0.13933829740983794,0.1696735395189003,0.7242519289428777,0.6571827550491489,0.0371532892162049
Left_Thalamus,Left_Thalamus_original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterRow,96,36.09510530412329,35.93663437386229,-0.15847093026099565,-0.1791655749707779,1.4787827706854608,-1.0499795531799097,0.2963912293060031,1575.5,0.11148979886752337,-0.1071630894019272,0.19535240040858015,0.7511187893877082,0.6571827550491489,0.15847093026099565
Left_Hippocampus,Left_Hippocampus_original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterRow,96,45.81023079977428,45.915432129097546,0.10520132932325883,0.24310382998535118,1.0144396486401681,1.0160863781296574,0.31216905969006353,1849.0,0.14813382539938538,0.10370388170876274,0.1717805151175812,0.7511187893877082,0.6571827550491489,0.10520132932325883
Left_Hippocampus,Left_Hippocampus_original_shape_Flatness,original_shape_Flatness,96,0.19604437599148072,0.19549946108903482,-0.0005449149024458925,-0.0009083342027940006,0.005709360611708734,-0.9351404158942646,0.35208693252548817,1922.0,0.13790174715780387,-0.09544236903312486,0.1743986254295533,0.7511187893877082,0.6571827550491489,0.0005449149024458925
