feature,loading_PC1,abs_loading_PC1
Left_Thalamus_original_shape_SurfaceArea,0.31042873759052164,0.31042873759052164
Left_Thalamus_original_shape_MeshVolume,0.3083985836115869,0.3083985836115869
Left_Thalamus_original_shape_VoxelVolume,0.3083660543770469,0.3083660543770469
Left_Thalamus_original_firstorder_TotalEnergy,0.29015290417018874,0.29015290417018874
Left_Thalamus_original_firstorder_Energy,0.2901529041701885,0.2901529041701885
Left_Thalamus_original_shape_Maximum3DDiameter,0.27547206490613557,0.27547206490613557
Left_Thalamus_original_shape_MajorAxisLength,0.26945396237918895,0.26945396237918895
Left_Thalamus_original_shape_SurfaceVolumeRatio,-0.2624896190706056,0.2624896190706056
Left_Thalamus_original_shape_Maximum2DDiameterColumn,0.24457240277949263,0.24457240277949263
Left_Thalamus_original_shape_Maximum2DDiameterRow,0.22866140430463622,0.22866140430463622
Left_Thalamus_original_shape_MinorAxisLength,0.21785482197225334,0.21785482197225334
Left_Thalamus_original_shape_Maximum2DDiameterSlice,0.18857218979697662,0.18857218979697662
Left_Thalamus_original_shape_LeastAxisLength,0.1511064301491012,0.1511064301491012
Left_Thalamus_original_shape_Flatness,-0.12272884982198767,0.12272884982198767
Left_Thalamus_original_firstorder_Entropy,-0.11610891300568296,0.11610891300568296
Left_Thalamus_original_firstorder_MeanAbsoluteDeviation,-0.11450936584954648,0.11450936584954648
Left_Thalamus_original_firstorder_RobustMeanAbsoluteDeviation,-0.10712245117643548,0.10712245117643548
Left_Thalamus_original_firstorder_Variance,-0.09630064953833228,0.09630064953833228
Left_Thalamus_original_firstorder_Uniformity,0.09488957752561888,0.09488957752561888
Left_Thalamus_original_firstorder_InterquartileRange,-0.09228043038064994,0.09228043038064994
Left_Thalamus_original_firstorder_90Percentile,-0.09016984396153317,0.09016984396153317
Left_Thalamus_original_shape_Sphericity,-0.07691910237263827,0.07691910237263827
Left_Thalamus_original_firstorder_Minimum,0.05528255388210408,0.05528255388210408
Left_Thalamus_original_firstorder_Range,-0.05045492049488766,0.05045492049488766
Left_Thalamus_original_shape_Elongation,-0.04941899424182543,0.04941899424182543
Left_Thalamus_original_firstorder_RootMeanSquared,-0.048765416053654344,0.048765416053654344
Left_Thalamus_original_firstorder_Median,-0.043002991868018176,0.043002991868018176
Left_Thalamus_original_firstorder_Maximum,-0.038444658037063706,0.038444658037063706
Left_Thalamus_original_firstorder_Mean,-0.03764254336858148,0.03764254336858148
Left_Thalamus_original_firstorder_Kurtosis,-0.018113601537389362,0.018113601537389362
Left_Thalamus_original_firstorder_10Percentile,0.012840163098472282,0.012840163098472282
Left_Thalamus_original_firstorder_Skewness,-0.008935760595365218,0.008935760595365218
