feature,loading_PC1,abs_loading_PC1
Right_Thalamus_original_shape_SurfaceArea,0.32464132382216127,0.32464132382216127
Right_Thalamus_original_firstorder_Energy,0.3183026544371205,0.3183026544371205
Right_Thalamus_original_firstorder_TotalEnergy,0.31830265443712025,0.31830265443712025
Right_Thalamus_original_shape_VoxelVolume,0.3144803397434223,0.3144803397434223
Right_Thalamus_original_shape_MeshVolume,0.31444599016446273,0.31444599016446273
Right_Thalamus_original_shape_Maximum3DDiameter,0.2713077117039057,0.2713077117039057
Right_Thalamus_original_shape_MajorAxisLength,0.2693012586278989,0.2693012586278989
Right_Thalamus_original_shape_Maximum2DDiameterColumn,0.2541175184092182,0.2541175184092182
Right_Thalamus_original_shape_SurfaceVolumeRatio,-0.24939567024131928,0.24939567024131928
Right_Thalamus_original_shape_MinorAxisLength,0.22878931024559743,0.22878931024559743
Right_Thalamus_original_shape_Maximum2DDiameterRow,0.22142219789200077,0.22142219789200077
Right_Thalamus_original_shape_Maximum2DDiameterSlice,0.16308582178431205,0.16308582178431205
Right_Thalamus_original_shape_Sphericity,-0.14296587587056478,0.14296587587056478
Right_Thalamus_original_shape_LeastAxisLength,0.13262514042999593,0.13262514042999593
Right_Thalamus_original_shape_Flatness,-0.115868072618768,0.115868072618768
Right_Thalamus_original_firstorder_10Percentile,0.07834892549333397,0.07834892549333397
Right_Thalamus_original_firstorder_MeanAbsoluteDeviation,-0.07490785036368608,0.07490785036368608
Right_Thalamus_original_firstorder_Variance,-0.07367113598733435,0.07367113598733435
Right_Thalamus_original_firstorder_Mean,0.061664805634955175,0.061664805634955175
Right_Thalamus_original_firstorder_RobustMeanAbsoluteDeviation,-0.05899484118100405,0.05899484118100405
Right_Thalamus_original_firstorder_RootMeanSquared,0.054848338684454996,0.054848338684454996
Right_Thalamus_original_firstorder_Range,-0.05207022817265715,0.05207022817265715
Right_Thalamus_original_firstorder_Minimum,0.0504370144989389,0.0504370144989389
Right_Thalamus_original_firstorder_Median,0.04784312096955415,0.04784312096955415
Right_Thalamus_original_firstorder_InterquartileRange,-0.04296737883655894,0.04296737883655894
Right_Thalamus_original_firstorder_Maximum,-0.04111291612943661,0.04111291612943661
Right_Thalamus_original_firstorder_Entropy,-0.03660092532887747,0.03660092532887747
Right_Thalamus_original_firstorder_90Percentile,0.03148759829187796,0.03148759829187796
Right_Thalamus_original_firstorder_Kurtosis,-0.02370375922686093,0.02370375922686093
Right_Thalamus_original_shape_Elongation,-0.019004835299325073,0.019004835299325073
Right_Thalamus_original_firstorder_Skewness,0.008303101792875172,0.008303101792875172
Right_Thalamus_original_firstorder_Uniformity,-0.00038496174531349545,0.00038496174531349545
