feature,loading_PC1,abs_loading_PC1
Left_Hippocampus_original_firstorder_MeanAbsoluteDeviation,0.3517507001803718,0.3517507001803718
Left_Hippocampus_original_firstorder_Entropy,0.33123700933727346,0.33123700933727346
Left_Hippocampus_original_firstorder_Variance,0.3293976026310729,0.3293976026310729
Left_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation,0.32826847503919504,0.32826847503919504
Left_Hippocampus_original_firstorder_InterquartileRange,0.31123666748456863,0.31123666748456863
Left_Hippocampus_original_firstorder_90Percentile,0.30984603514635395,0.30984603514635395
Left_Hippocampus_original_firstorder_Uniformity,-0.2955308432423207,0.2955308432423207
Left_Hippocampus_original_firstorder_Range,0.2471356568190277,0.2471356568190277
Left_Hippocampus_original_firstorder_Maximum,0.22887841717377713,0.22887841717377713
Left_Hippocampus_original_firstorder_10Percentile,-0.19927221716113952,0.19927221716113952
Left_Hippocampus_original_firstorder_Energy,0.1706903465098935,0.1706903465098935
Left_Hippocampus_original_firstorder_TotalEnergy,0.17069034650989343,0.17069034650989343
Left_Hippocampus_original_firstorder_RootMeanSquared,0.16769481577735254,0.16769481577735254
Left_Hippocampus_original_firstorder_Minimum,-0.1352878105404885,0.1352878105404885
Left_Hippocampus_original_firstorder_Mean,0.08660257409076329,0.08660257409076329
Left_Hippocampus_original_firstorder_Skewness,0.05231189753990387,0.05231189753990387
Left_Hippocampus_original_firstorder_Median,0.03896032621706264,0.03896032621706264
Left_Hippocampus_original_firstorder_Kurtosis,-0.02143011472624161,0.02143011472624161
