feature,loading_PC1,abs_loading_PC1
Right_Thalamus_original_firstorder_RootMeanSquared,0.3921769982005107,0.3921769982005107
Right_Thalamus_original_firstorder_Mean,0.38026182926790336,0.38026182926790336
Right_Thalamus_original_firstorder_90Percentile,0.36124133951293846,0.36124133951293846
Right_Thalamus_original_firstorder_Uniformity,-0.35627801727183434,0.35627801727183434
Right_Thalamus_original_firstorder_Median,0.35189635172547773,0.35189635172547773
Right_Thalamus_original_firstorder_Entropy,0.3088348507394791,0.3088348507394791
Right_Thalamus_original_firstorder_10Percentile,0.2736834083708525,0.2736834083708525
Right_Thalamus_original_firstorder_Maximum,0.17641869256341677,0.17641869256341677
Right_Thalamus_original_firstorder_Range,0.16632571685624598,0.16632571685624598
Right_Thalamus_original_firstorder_Kurtosis,0.14745026354756058,0.14745026354756058
Right_Thalamus_original_firstorder_Energy,0.14440358372777584,0.14440358372777584
Right_Thalamus_original_firstorder_TotalEnergy,0.14440358372777579,0.14440358372777579
Right_Thalamus_original_firstorder_Skewness,0.12946763658394234,0.12946763658394234
Right_Thalamus_original_firstorder_Variance,0.08746964467829915,0.08746964467829915
Right_Thalamus_original_firstorder_MeanAbsoluteDeviation,0.049483831840384615,0.049483831840384615
Right_Thalamus_original_firstorder_Minimum,-0.02892971539417216,0.02892971539417216
Right_Thalamus_original_firstorder_InterquartileRange,-0.009510341612488158,0.009510341612488158
Right_Thalamus_original_firstorder_RobustMeanAbsoluteDeviation,0.005761529845614104,0.005761529845614104
