feature,loading_PC1,abs_loading_PC1
Left_Thalamus_original_firstorder_RootMeanSquared,0.36192804833881587,0.36192804833881587
Left_Thalamus_original_firstorder_Uniformity,-0.35638486138397324,0.35638486138397324
Left_Thalamus_original_firstorder_90Percentile,0.35628232433875784,0.35628232433875784
Left_Thalamus_original_firstorder_Entropy,0.3457967119762487,0.3457967119762487
Left_Thalamus_original_firstorder_Mean,0.3382853688168618,0.3382853688168618
Left_Thalamus_original_firstorder_Median,0.32764292427892056,0.32764292427892056
Left_Thalamus_original_firstorder_Range,0.22548959048749598,0.22548959048749598
Left_Thalamus_original_firstorder_Maximum,0.2220415302413289,0.2220415302413289
Left_Thalamus_original_firstorder_Variance,0.21664163231023165,0.21664163231023165
Left_Thalamus_original_firstorder_MeanAbsoluteDeviation,0.19197460102522043,0.19197460102522043
Left_Thalamus_original_firstorder_10Percentile,0.17995572085343434,0.17995572085343434
Left_Thalamus_original_firstorder_Kurtosis,0.1317728654760665,0.1317728654760665
Left_Thalamus_original_firstorder_Skewness,0.11946230209116844,0.11946230209116844
Left_Thalamus_original_firstorder_RobustMeanAbsoluteDeviation,0.09093894364215468,0.09093894364215468
Left_Thalamus_original_firstorder_Minimum,-0.08669204203703572,0.08669204203703572
Left_Thalamus_original_firstorder_InterquartileRange,0.07012558707100063,0.07012558707100063
Left_Thalamus_original_firstorder_TotalEnergy,0.05020134240075487,0.05020134240075487
Left_Thalamus_original_firstorder_Energy,0.0502013424007548,0.0502013424007548
