feature,loading_PC1,abs_loading_PC1
Right_Hippocampus_original_firstorder_MeanAbsoluteDeviation,0.35742485637822385,0.35742485637822385
Right_Hippocampus_original_firstorder_Entropy,0.34309899575873326,0.34309899575873326
Right_Hippocampus_original_firstorder_Variance,0.338432589267502,0.338432589267502
Right_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation,0.332327565852933,0.332327565852933
Right_Hippocampus_original_firstorder_Uniformity,-0.32339057322504583,0.32339057322504583
Right_Hippocampus_original_firstorder_InterquartileRange,0.3190845154487408,0.3190845154487408
Right_Hippocampus_original_firstorder_Range,0.27158194759507087,0.27158194759507087
Right_Hippocampus_original_firstorder_90Percentile,0.258780867511184,0.258780867511184
Right_Hippocampus_original_firstorder_Maximum,0.2523933877854031,0.2523933877854031
Right_Hippocampus_original_firstorder_10Percentile,-0.21629189928951606,0.21629189928951606
Right_Hippocampus_original_firstorder_Minimum,-0.1440726818143545,0.1440726818143545
Right_Hippocampus_original_firstorder_TotalEnergy,0.11483152429738926,0.11483152429738926
Right_Hippocampus_original_firstorder_Energy,0.11483152429738906,0.11483152429738906
Right_Hippocampus_original_firstorder_RootMeanSquared,0.10884705593860088,0.10884705593860088
Right_Hippocampus_original_firstorder_Skewness,0.08769902456251938,0.08769902456251938
Right_Hippocampus_original_firstorder_Kurtosis,0.056349914085149465,0.056349914085149465
Right_Hippocampus_original_firstorder_Mean,0.04413343323106055,0.04413343323106055
Right_Hippocampus_original_firstorder_Median,0.012476514774320354,0.012476514774320354
