feature,loading_PC1,abs_loading_PC1
Right_Hippocampus_original_firstorder_MeanAbsoluteDeviation,0.2514807428244894,0.2514807428244894
Left_Hippocampus_original_firstorder_MeanAbsoluteDeviation,0.2472241226337069,0.2472241226337069
Right_Hippocampus_original_firstorder_Entropy,0.24256787699005614,0.24256787699005614
Left_Hippocampus_original_firstorder_Entropy,0.2395810754240761,0.2395810754240761
Right_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation,0.23941566237417225,0.23941566237417225
Left_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation,0.23433323124087865,0.23433323124087865
Right_Hippocampus_original_firstorder_Variance,0.23370863526481625,0.23370863526481625
Right_Hippocampus_original_firstorder_InterquartileRange,0.23123613583950994,0.23123613583950994
Right_Hippocampus_original_firstorder_Uniformity,-0.23050677065995903,0.23050677065995903
Left_Hippocampus_original_firstorder_Variance,0.22862968750194376,0.22862968750194376
Left_Hippocampus_original_firstorder_InterquartileRange,0.22515285520260298,0.22515285520260298
Left_Hippocampus_original_firstorder_90Percentile,0.21780391549348097,0.21780391549348097
Left_Hippocampus_original_firstorder_Uniformity,-0.21767084141124798,0.21767084141124798
Right_Hippocampus_original_firstorder_90Percentile,0.1832090397866391,0.1832090397866391
Right_Hippocampus_original_firstorder_Range,0.17820590639235423,0.17820590639235423
Left_Hippocampus_original_firstorder_Range,0.17698712874310063,0.17698712874310063
Left_Hippocampus_original_firstorder_Maximum,0.16803903243414728,0.16803903243414728
Right_Hippocampus_original_firstorder_Maximum,0.1653452216160824,0.1653452216160824
Right_Hippocampus_original_firstorder_10Percentile,-0.15708861051504852,0.15708861051504852
Left_Hippocampus_original_firstorder_10Percentile,-0.1367534887057087,0.1367534887057087
Left_Hippocampus_original_firstorder_RootMeanSquared,0.12125866524651059,0.12125866524651059
Left_Hippocampus_original_firstorder_TotalEnergy,0.11714121880928881,0.11714121880928881
Left_Hippocampus_original_firstorder_Energy,0.11714121880928867,0.11714121880928867
Right_Hippocampus_original_firstorder_Minimum,-0.09539496250845635,0.09539496250845635
Right_Hippocampus_original_firstorder_Energy,0.091197352743419,0.091197352743419
Right_Hippocampus_original_firstorder_TotalEnergy,0.09119735274341896,0.09119735274341896
Left_Hippocampus_original_firstorder_Minimum,-0.08202090982418576,0.08202090982418576
Right_Hippocampus_original_firstorder_RootMeanSquared,0.07212137166886015,0.07212137166886015
Left_Hippocampus_original_firstorder_Mean,0.06530156560824735,0.06530156560824735
Right_Hippocampus_original_firstorder_Skewness,0.057808209792030496,0.057808209792030496
Left_Hippocampus_original_firstorder_Skewness,0.04950885912460658,0.04950885912460658
Left_Hippocampus_original_firstorder_Median,0.03296056179490108,0.03296056179490108
Right_Hippocampus_original_firstorder_Mean,0.027249874596335086,0.027249874596335086
Right_Hippocampus_original_firstorder_Kurtosis,0.026978733397570783,0.026978733397570783
Left_Hippocampus_original_firstorder_Kurtosis,-0.00975672177080015,0.00975672177080015
Right_Hippocampus_original_firstorder_Median,0.006153116152250885,0.006153116152250885
