feature,loading_PC1,abs_loading_PC1
Right_Thalamus_original_firstorder_RootMeanSquared,0.28800839855657934,0.28800839855657934
Left_Thalamus_original_firstorder_RootMeanSquared,0.2850912172432073,0.2850912172432073
Right_Thalamus_original_firstorder_Mean,0.28097952970890344,0.28097952970890344
Left_Thalamus_original_firstorder_Mean,0.2793375108064382,0.2793375108064382
Left_Thalamus_original_firstorder_Median,0.27237644982653586,0.27237644982653586
Right_Thalamus_original_firstorder_Median,0.2695047113811102,0.2695047113811102
Right_Thalamus_original_firstorder_90Percentile,0.26693030172737964,0.26693030172737964
Right_Thalamus_original_firstorder_Uniformity,-0.26564997643605187,0.26564997643605187
Left_Thalamus_original_firstorder_90Percentile,0.26110090262092,0.26110090262092
Left_Thalamus_original_firstorder_Uniformity,-0.2575600929218981,0.2575600929218981
Right_Thalamus_original_firstorder_Entropy,0.22792737919395833,0.22792737919395833
Right_Thalamus_original_firstorder_10Percentile,0.20533102896567562,0.20533102896567562
Left_Thalamus_original_firstorder_Entropy,0.20504822951267243,0.20504822951267243
Left_Thalamus_original_firstorder_10Percentile,0.19731819395285372,0.19731819395285372
Right_Thalamus_original_firstorder_Maximum,0.10538159343179271,0.10538159343179271
Right_Thalamus_original_firstorder_Range,0.10046116807411193,0.10046116807411193
Right_Thalamus_original_firstorder_Energy,0.09000278020594657,0.09000278020594657
Right_Thalamus_original_firstorder_TotalEnergy,0.09000278020594654,0.09000278020594654
Left_Thalamus_original_firstorder_Maximum,0.07673909444648831,0.07673909444648831
Left_Thalamus_original_firstorder_Energy,0.07663796164419208,0.07663796164419208
Left_Thalamus_original_firstorder_TotalEnergy,0.07663796164419197,0.07663796164419197
Left_Thalamus_original_firstorder_Range,0.07337069608068122,0.07337069608068122
Right_Thalamus_original_firstorder_Kurtosis,0.07093052740637176,0.07093052740637176
Left_Thalamus_original_firstorder_Variance,0.06214445035034553,0.06214445035034553
Right_Thalamus_original_firstorder_Skewness,0.0533928450220335,0.0533928450220335
Left_Thalamus_original_firstorder_MeanAbsoluteDeviation,0.04855629226916351,0.04855629226916351
Right_Thalamus_original_firstorder_Variance,0.04693593701432096,0.04693593701432096
Left_Thalamus_original_firstorder_Skewness,0.03422111184048245,0.03422111184048245
Left_Thalamus_original_firstorder_Kurtosis,0.029669684060802597,0.029669684060802597
Right_Thalamus_original_firstorder_MeanAbsoluteDeviation,0.02762486086635147,0.02762486086635147
Right_Thalamus_original_firstorder_Minimum,-0.02092003722877593,0.02092003722877593
Left_Thalamus_original_firstorder_InterquartileRange,-0.015631724982833013,0.015631724982833013
Left_Thalamus_original_firstorder_Minimum,-0.013870815404120492,0.013870815404120492
Right_Thalamus_original_firstorder_InterquartileRange,-0.011367006031318997,0.011367006031318997
Right_Thalamus_original_firstorder_RobustMeanAbsoluteDeviation,-0.0027315449979482937,0.0027315449979482937
Left_Thalamus_original_firstorder_RobustMeanAbsoluteDeviation,0.001477592326009187,0.001477592326009187
