feature,loading_PC1,abs_loading_PC1
Left_Hippocampus_original_shape_SurfaceArea,0.2888109726968074,0.2888109726968074
Right_Hippocampus_original_shape_SurfaceArea,0.2887284381183825,0.2887284381183825
Right_Hippocampus_original_shape_VoxelVolume,0.2792276595408201,0.2792276595408201
Right_Hippocampus_original_shape_MeshVolume,0.27891809969826725,0.27891809969826725
Left_Hippocampus_original_shape_VoxelVolume,0.2761815864245658,0.2761815864245658
Left_Hippocampus_original_shape_MeshVolume,0.2761654499400811,0.2761654499400811
Right_Hippocampus_original_shape_Maximum2DDiameterRow,0.22345189224583145,0.22345189224583145
Right_Hippocampus_original_shape_MinorAxisLength,0.21725863804475423,0.21725863804475423
Right_Hippocampus_original_shape_MajorAxisLength,0.20990519872055394,0.20990519872055394
Left_Hippocampus_original_shape_Maximum2DDiameterRow,0.2095393657438978,0.2095393657438978
Right_Hippocampus_original_shape_Maximum3DDiameter,0.20074868843977847,0.20074868843977847
Left_Hippocampus_original_shape_Maximum3DDiameter,0.1973003776223768,0.1973003776223768
Left_Hippocampus_original_shape_MinorAxisLength,0.19631471746608475,0.19631471746608475
Left_Hippocampus_original_shape_MajorAxisLength,0.1920094739141603,0.1920094739141603
Left_Hippocampus_original_shape_Maximum2DDiameterSlice,0.1549182026925787,0.1549182026925787
Right_Hippocampus_original_shape_Maximum2DDiameterSlice,0.15234387409593492,0.15234387409593492
Left_Hippocampus_original_shape_LeastAxisLength,0.1460143715454407,0.1460143715454407
Right_Hippocampus_original_shape_SurfaceVolumeRatio,-0.13301452606569306,0.13301452606569306
Right_Hippocampus_original_shape_Maximum2DDiameterColumn,0.13275462091657425,0.13275462091657425
Right_Hippocampus_original_shape_Sphericity,-0.13108054240300834,0.13108054240300834
Left_Hippocampus_original_shape_SurfaceVolumeRatio,-0.13043011016873787,0.13043011016873787
Left_Hippocampus_original_shape_Sphericity,-0.11477903479069858,0.11477903479069858
Left_Hippocampus_original_shape_Maximum2DDiameterColumn,0.1125813492610516,0.1125813492610516
Right_Hippocampus_original_shape_LeastAxisLength,0.10919782398477663,0.10919782398477663
Right_Hippocampus_original_shape_Flatness,-0.08786003976147994,0.08786003976147994
Left_Hippocampus_original_shape_Flatness,-0.03638473183802916,0.03638473183802916
Right_Hippocampus_original_shape_Elongation,-0.01441589007216146,0.01441589007216146
Left_Hippocampus_original_shape_Elongation,0.010964854949466933,0.010964854949466933
