cohort,id,vwrec,PC1_pre,PC1_post,PC1_delta,structure
1,12,12,-0.30773961792279453,0.2866623736006262,0.5944019915234207,Hippocampus
1,19,15,-2.5832150687661417,-2.6149748735611564,-0.03175980479501472,Hippocampus
1,20,12,-0.04002457841221808,0.16734318168905649,0.20736776010127456,Hippocampus
1,30,13,-1.9563358200827048,-2.0013256501811916,-0.04498983009848678,Hippocampus
1,32,14,-4.83720760343024,-3.5734559338463385,1.2637516695839017,Hippocampus
1,41,11,-3.2783362980224937,-3.7834570637773224,-0.5051207657548287,Hippocampus
1,43,13,2.9629921142017293,3.5777424115205734,0.6147502973188441,Hippocampus
1,44,15,0.805298417510594,0.6278686208694574,-0.17742979664113656,Hippocampus
1,45,9,2.3850335243807987,2.321167336389063,-0.06386618799173593,Hippocampus
1,47,13,-3.9160456238948274,-3.298335394467876,0.6177102294269514,Hippocampus
1,48,12,-3.9123734100082252,-3.491280130141518,0.4210932798667071,Hippocampus
1,50,12,-10.187992573092444,-9.138968535216476,1.0490240378759683,Hippocampus
1,60,9,7.594147530389313,7.406580027525829,-0.18756750286348467,Hippocampus
1,66,10,-1.0448264939709315,-1.6044093409786429,-0.5595828470077113,Hippocampus
1,68,14,-1.7837940276032291,-1.916080243492321,-0.13228621588909184,Hippocampus
1,69,14,-2.529846238779476,-2.1178760014793925,0.4119702373000833,Hippocampus
1,80,13,-5.463125577847132,-4.582423101580354,0.8807024762667774,Hippocampus
1,83,14,2.5108146737790795,2.5135638110870184,0.002749137307938909,Hippocampus
1,84,15,-5.289261785334265,-4.382699004357932,0.9065627809763326,Hippocampus
1,85,11,-5.839178433157158,-5.36636122879996,0.4728172043571979,Hippocampus
1,89,14,-0.5363173653319478,0.21400418917813158,0.7503215545100794,Hippocampus
1,91,14,0.29609036914242837,-0.42962364038261724,-0.7257140095250456,Hippocampus
1,95,12,0.10268703661408884,-0.26636306389905723,-0.3690501005131461,Hippocampus
1,96,14,-5.327741184261917,-4.875670492174722,0.4520706920871955,Hippocampus
1,97,14,-7.018484751145197,-7.15295662951984,-0.1344718783746437,Hippocampus
