feature,loading_PC1,abs_loading_PC1
Left_Hippocampus_original_shape_SurfaceArea,0.4145358412442395,0.4145358412442395
Left_Hippocampus_original_shape_VoxelVolume,0.3900863014131169,0.3900863014131169
Left_Hippocampus_original_shape_MeshVolume,0.389854344602671,0.389854344602671
Left_Hippocampus_original_shape_Maximum2DDiameterRow,0.315101636828372,0.315101636828372
Left_Hippocampus_original_shape_Maximum3DDiameter,0.29425253013186453,0.29425253013186453
Left_Hippocampus_original_shape_MajorAxisLength,0.2936491658816198,0.2936491658816198
Left_Hippocampus_original_shape_MinorAxisLength,0.2792770601316715,0.2792770601316715
Left_Hippocampus_original_shape_Maximum2DDiameterSlice,0.2070329275146334,0.2070329275146334
Left_Hippocampus_original_shape_LeastAxisLength,0.19249346514412083,0.19249346514412083
Left_Hippocampus_original_shape_Sphericity,-0.17932256820801573,0.17932256820801573
Left_Hippocampus_original_shape_SurfaceVolumeRatio,-0.1718476052506591,0.1718476052506591
Left_Hippocampus_original_shape_Maximum2DDiameterColumn,0.16245140906722919,0.16245140906722919
Left_Hippocampus_original_shape_Flatness,-0.07688980210691052,0.07688980210691052
Left_Hippocampus_original_shape_Elongation,0.00038695601944953675,0.00038695601944953675
