feature,loading_PC1,abs_loading_PC1
Right_Hippocampus_original_shape_SurfaceArea,0.3967023302610594,0.3967023302610594
Right_Hippocampus_original_shape_VoxelVolume,0.366960826470599,0.366960826470599
Right_Hippocampus_original_shape_MeshVolume,0.3664277902206401,0.3664277902206401
Right_Hippocampus_original_shape_Maximum2DDiameterRow,0.3421154509511515,0.3421154509511515
Right_Hippocampus_original_shape_MajorAxisLength,0.3239909812203537,0.3239909812203537
Right_Hippocampus_original_shape_Maximum3DDiameter,0.3101018565861273,0.3101018565861273
Right_Hippocampus_original_shape_MinorAxisLength,0.2728977394085314,0.2728977394085314
Right_Hippocampus_original_shape_Sphericity,-0.2167721843343676,0.2167721843343676
Right_Hippocampus_original_shape_Maximum2DDiameterSlice,0.20480360944244255,0.20480360944244255
Right_Hippocampus_original_shape_Flatness,-0.17067271559379105,0.17067271559379105
Right_Hippocampus_original_shape_Maximum2DDiameterColumn,0.16125407960140348,0.16125407960140348
Right_Hippocampus_original_shape_SurfaceVolumeRatio,-0.1416948259917946,0.1416948259917946
Right_Hippocampus_original_shape_LeastAxisLength,0.11076242253555821,0.11076242253555821
Right_Hippocampus_original_shape_Elongation,-0.06808613584718162,0.06808613584718162
