feature,loading_PC1,abs_loading_PC1
Left_Thalamus_original_shape_SurfaceArea,0.2618515746270063,0.2618515746270063
Right_Thalamus_original_shape_SurfaceArea,0.2589609959185742,0.2589609959185742
Left_Thalamus_original_shape_MeshVolume,0.2568622094386714,0.2568622094386714
Left_Thalamus_original_shape_VoxelVolume,0.25685920558666014,0.25685920558666014
Right_Thalamus_original_shape_VoxelVolume,0.2551301493491388,0.2551301493491388
Right_Thalamus_original_shape_MeshVolume,0.255063193928013,0.255063193928013
Left_Thalamus_original_shape_Maximum3DDiameter,0.23257469677485137,0.23257469677485137
Left_Thalamus_original_shape_MajorAxisLength,0.22589998889366647,0.22589998889366647
Right_Thalamus_original_shape_Maximum3DDiameter,0.21842095126949418,0.21842095126949418
Right_Thalamus_original_shape_MajorAxisLength,0.2181941766042296,0.2181941766042296
Left_Thalamus_original_shape_SurfaceVolumeRatio,-0.21221296358128922,0.21221296358128922
Right_Thalamus_original_shape_SurfaceVolumeRatio,-0.21160415359078183,0.21160415359078183
Right_Thalamus_original_shape_Maximum2DDiameterColumn,0.20257172477298435,0.20257172477298435
Left_Thalamus_original_shape_Maximum2DDiameterColumn,0.19680127302267586,0.19680127302267586
Left_Thalamus_original_shape_MinorAxisLength,0.18279030311721858,0.18279030311721858
Left_Thalamus_original_shape_Maximum2DDiameterRow,0.1809534351374289,0.1809534351374289
Right_Thalamus_original_shape_MinorAxisLength,0.1717303726174319,0.1717303726174319
Left_Thalamus_original_shape_Maximum2DDiameterSlice,0.16451708411134355,0.16451708411134355
Right_Thalamus_original_shape_Maximum2DDiameterRow,0.15764680417019233,0.15764680417019233
Right_Thalamus_original_shape_Maximum2DDiameterSlice,0.1370924846036319,0.1370924846036319
Left_Thalamus_original_shape_LeastAxisLength,0.12358004464625169,0.12358004464625169
Right_Thalamus_original_shape_LeastAxisLength,0.1211964206290302,0.1211964206290302
Left_Thalamus_original_shape_Flatness,-0.1045885841006957,0.1045885841006957
Right_Thalamus_original_shape_Sphericity,-0.09500258556380269,0.09500258556380269
Right_Thalamus_original_shape_Flatness,-0.08440404004710424,0.08440404004710424
Left_Thalamus_original_shape_Sphericity,-0.08014692599421078,0.08014692599421078
Left_Thalamus_original_shape_Elongation,-0.04131259798511021,0.04131259798511021
Right_Thalamus_original_shape_Elongation,-0.026737829318468895,0.026737829318468895
