ROI,n_subjects,n_rows,beta_time,p_time,beta_dose,p_dose,beta_time_dose,p_time_dose,q_time_dose_fdr
aseg+DKT_Right-Caudate,95,190,-9.501210801536219,0.16262184428048398,-42.11289736814501,0.2550945067121827,26.88944539909102,0.0002170310757540555,0.031035443832829936
aseg+DKT_ctx-rh-caudalmiddlefrontal,95,190,-20.676563412429324,0.25633494224323083,28.74848932031054,0.7291035035239029,-64.80313034276848,0.0008707168472977907,0.062256254581792035
cerebellum.CerebNet_Left-Cerebellum-Cortex,95,190,-26.035540130091295,0.814720958958786,176.73812688793825,0.6793761094815787,-349.9519593080311,0.0032024136040283923,0.11646939227262426
aseg+DKT_ctx-lh-rostralanteriorcingulate,95,190,-13.848088130223392,0.20031719677161575,-51.41553997510252,0.21807191338389031,-33.998847076647365,0.0032578850985349444,0.11646939227262426
cerebellum.CerebNet_Right-Cerebellum-Cortex,95,190,-47.22254131068759,0.7118532296190274,265.2261725069757,0.5282444836731137,-359.7217819989668,0.008464029343254284,0.20109438536972404
aseg+DKT_ctx-rh-insula,95,190,-32.86436535279928,0.03687800977810548,-26.538721501481664,0.528783881376763,43.51877334150063,0.00970506399236795,0.20109438536972404
cerebellum.CerebNet_Cbm_Left_X,95,190,-1.6165156753287044,0.8354624355435897,9.78789125513563,0.4204596788369299,-21.46992066997084,0.009843781102014464,0.20109438536972404
hypothalamus.HypVINN_Tuberal-Region,95,190,-0.2901028558298026,0.7853975014583372,0.546206698260751,0.7198843977678784,-2.8388552925916493,0.01265730688304433,0.2262493605344174
cerebellum.CerebNet_Cbm_Left_IX,95,190,-47.56966052764804,0.020073023715660235,8.986062203552864,0.8587972750345401,-52.74458310463386,0.015854300663772844,0.2515904220272076
aseg+DKT_Right-Putamen,95,190,-12.608937420112659,0.40029124405225047,61.216875852620994,0.09129357694954615,-37.732019711487084,0.01851086133132323,0.2515904220272076
aseg+DKT_Brain-Stem,95,190,-6.599683931593382,0.865583667200577,102.8756905376297,0.5004993393033484,-97.43722000979324,0.019353109386708277,0.2515904220272076
