ROI,n_subjects,n_rows,beta_time,p_time,beta_dose,p_dose,beta_time_dose,p_time_dose,beta_age,p_age,beta_brainseg,p_brainseg,q_time_dose_fdr
aseg+DKT_ctx-rh-insula,95,190,-32.86436535279928,0.03687800977810548,-26.538721501481664,0.528783881376763,43.51877334150063,0.00970506399236795,16.092101236422447,0.3084710882737869,0.004571577208032118,1.7594578884865063e-28,0.1257952110136038
aseg+DKT_Brain-Stem,95,190,-6.599683931593382,0.865583667200577,102.8756905376297,0.5004993393033484,-97.43722000979324,0.019353109386708277,81.7712504188546,0.15772321626854435,0.013339754284693476,2.674208143731205e-19,0.1257952110136038
aseg+DKT_Left-Thalamus,95,190,-46.79410884362444,0.009834689124814146,25.548960702615954,0.6139027275255042,-37.89083126126683,0.050453483188876456,-3.991941056417877,0.8337885748524745,0.004363855321970751,1.5247196913012757e-18,0.14690839733411987
aseg+DKT_Right-Cerebral-White-Matter,95,190,964.4148906833849,0.0003194244417503369,-164.48610168168955,0.7717474588334707,551.3427227663686,0.054195334325520025,137.09198408600852,0.5138715121033344,0.22102269581309947,0.0,0.14690839733411987
aseg+DKT_Left-Cerebral-White-Matter,95,190,789.4646302133435,0.005442562229945179,66.36262369467958,0.9047784987054516,578.8722925598821,0.056503229743892255,200.82880374026075,0.3254606410267963,0.22098953316137174,0.0,0.14690839733411987
aseg+DKT_Left-Hippocampus,95,190,22.951337744619032,0.029020439578481858,-25.652240197817935,0.4531759521201518,-14.591179736074064,0.19400771388950855,-9.287152353512036,0.47186865983073123,0.0020715712209708206,6.317623469970706e-10,0.42035004676060184
aseg+DKT_ctx-lh-insula,95,190,-44.35423980322669,0.006519161754551188,4.833750291846312,0.8976930388856651,-14.577909671524345,0.40277684789138,16.167133059192594,0.24808290216070894,0.00502972795555477,1.0375192558764847e-42,0.6946588545084076
aseg+DKT_Right-VentralDC,95,190,-12.856363575083947,0.20452479384708155,1.7189110141557262,0.941621434801931,-8.592791813621137,0.4274823720051739,1.3474710211641208,0.8774960370182141,0.0023442972569045974,1.768870610489344e-24,0.6946588545084076
aseg+DKT_ctx-rh-superiorfrontal,95,190,-98.80414547565348,0.0921183515080408,-237.7309709414416,0.19230988671247762,-36.1916785936864,0.5637137379860638,-63.73950966218369,0.35386681730442415,0.026333469707340015,2.7094881748329622e-48,0.8142531770909811
aseg+DKT_Right-Thalamus,95,190,-7.573594939439073,0.6372859430255351,4.657339039978961,0.9127569308968506,-6.718317712216471,0.6955183021865641,-11.257122767522706,0.4798801360487941,0.004285251983924902,7.232735905214369e-25,0.9041737928425333
aseg+DKT_Left-VentralDC,95,190,7.864974362623111,0.42743357742616317,10.445182602178765,0.6929244734603882,-1.675428329917232,0.874305633047914,3.479007729678093,0.7257609427731213,0.002423715020683768,8.00860804331945e-21,0.921916110545672
aseg+DKT_Right-Hippocampus,95,190,26.25547676594675,0.021509303348683458,-27.138694989250347,0.4116707699472322,-1.4402046441843497,0.9060656286673469,-1.3890337796126677,0.9110499255688618,0.0018244232382301916,1.807747728358055e-08,0.921916110545672
aseg+DKT_ctx-lh-superiorfrontal,95,190,-116.96615608086049,0.040818638351486684,-232.1088566871171,0.19940908578872152,-5.990144665144424,0.921916110545672,-26.205344118804987,0.7009243352372028,0.024289383222236526,2.7010169882829963e-42,0.921916110545672
