feature,PC1,PC2,PC3,PC4,PC5
aseg+DKT_3rd-Ventricle,0.05017491345604277,0.0535445063726834,0.2721767536370564,0.031304346655328524,0.1215618001108704
aseg+DKT_4th-Ventricle,0.05092508709507937,0.09609423152589916,0.1428768385323288,0.05103854779696798,-0.0013406665679183138
aseg+DKT_Brain-Stem,0.11021839322311766,0.061625229690586106,-0.0669984282904943,-0.012233767554173512,0.08100390525597766
aseg+DKT_CSF,0.0706215689252827,0.06381906468237591,0.21007983948294018,0.003855139978102856,-0.02771885335801194
aseg+DKT_Left-Accumbens-area,0.109051179101961,-0.043349764301768956,-0.05225463425189458,-0.03065618409644344,-0.0056421593600898545
aseg+DKT_Left-Amygdala,0.0879052840251548,-0.05981650823516427,-0.014814511154510324,0.00955544831592324,0.19164614559377602
aseg+DKT_Left-Caudate,0.0849358449837254,0.017047260928496177,0.12219092954265083,-0.01778498522276828,0.034724042112491
aseg+DKT_Left-Cerebellum-Cortex,0.09948680894838964,0.18255941074630208,-0.05639323510334282,-0.06370902188741756,0.009456873098362628
aseg+DKT_Left-Cerebellum-White-Matter,0.10362761120547664,0.15044778480529666,-0.03723003596845408,-0.05160632876885779,0.05321772297174404
aseg+DKT_Left-Cerebral-White-Matter,0.1252485956501958,-0.05789349382103612,0.04345788388155045,-0.004898869762466817,-0.03417974085821368
aseg+DKT_Left-Hippocampus,0.09584118754570727,-0.0566021531684311,-0.12339760257196039,-0.02038129562021084,0.13300888707314837
aseg+DKT_Left-Inf-Lat-Vent,0.03734022030195201,0.04750967645791188,0.22483006461424518,-0.011750264449223714,0.23072879966414406
aseg+DKT_Left-Lateral-Ventricle,0.02890014123798566,0.06913901707543589,0.28918319445017665,-0.0010613903908589734,0.04026842378539201
aseg+DKT_Left-Pallidum,0.10750031746428065,-0.002882777220510301,-0.043316457801414104,-0.0005093461853425466,0.056752356811598424
aseg+DKT_Left-Putamen,0.10524509097920694,-0.05700398703982832,-0.06702192334772925,-0.04122287133646934,0.011656078500786596
aseg+DKT_Left-Thalamus,0.1055150999161098,-0.06429800839625138,-0.06134647081390168,-0.04521289012303911,0.08075266779286341
aseg+DKT_Left-VentralDC,0.1152686828300573,-0.018637906078198038,-0.0730303251263921,0.03321577372691828,0.11971018984675254
aseg+DKT_Left-choroid-plexus,0.05112014556373826,0.05081642297991531,0.19820631905046354,0.05749443906934506,-0.050408827717308605
aseg+DKT_Right-Accumbens-area,0.09875504581380073,-0.07774082188177109,-0.06092545668824062,-0.015346843522916815,0.00883365930112297
aseg+DKT_Right-Amygdala,0.10308790607127533,-0.042489915244218704,-0.01609800853127288,-0.012960956116738946,0.13902048232817177
aseg+DKT_Right-Caudate,0.0920767011519055,0.005535803055457543,0.12525719037513874,0.010364296492165598,0.011483877505861526
aseg+DKT_Right-Cerebellum-Cortex,0.10185698521637458,0.1710810314859998,-0.06291923703715994,-0.05757401632861353,0.002767621635249037
aseg+DKT_Right-Cerebellum-White-Matter,0.10447200121503876,0.14513401735276457,-0.043173639446181133,-0.031195096472890444,0.03221371147752441
aseg+DKT_Right-Cerebral-White-Matter,0.125029543975544,-0.056844876041455376,0.04431005467485724,-0.007440602191321558,-0.025266774633120784
aseg+DKT_Right-Hippocampus,0.0940283668369786,-0.06510935059888802,-0.12293001249416963,-0.029483282415865522,0.16186319655652537
aseg+DKT_Right-Inf-Lat-Vent,0.03942209382448542,0.041490878607663345,0.2371611834280874,0.015602299737539798,0.19846965532944938
