feature,PC1,PC2,PC3,PC4,PC5
aseg+DKT_3rd-Ventricle,0.06681509253484486,-0.05211729578125582,0.2382713129259536,-0.02970695504831747,-0.04989790067415425
aseg+DKT_4th-Ventricle,0.056683015274226145,0.003704167492779225,0.1461023853069423,-0.03872489678947069,-0.10508713077510942
aseg+DKT_Brain-Stem,0.11709497796992958,0.07692776125990597,-0.046358154290803366,0.01459493439430791,-0.03957001716439541
aseg+DKT_CSF,0.07966014858013773,-0.01784002388671313,0.1985115891830368,-0.03921612978445062,0.018985012939269824
aseg+DKT_Left-Accumbens-area,0.11215285505462892,-0.021003768434234238,-0.09057754160024867,-0.0019794910151242906,0.07930232999802489
aseg+DKT_Left-Amygdala,0.09181098438583979,-0.030397867205026727,-0.06657941675192225,0.027491767675876216,-0.12458909113055378
aseg+DKT_Left-Caudate,0.10001182081343994,-0.03914264182602628,0.054794995625761594,-0.0233266644217186,0.04893119303587906
aseg+DKT_Left-Cerebellum-Cortex,0.09046429675958034,0.1955061971006914,0.010062089021736352,-0.039297585552362735,0.0016573626786601584
aseg+DKT_Left-Cerebellum-White-Matter,0.10010446100525021,0.15902600446641887,-0.009449593281253811,-0.02352379423985962,-0.024130822319189282
aseg+DKT_Left-Cerebral-White-Matter,0.12462722464690013,-0.07414979476434795,0.0041478739944955725,-0.04474652854836933,0.026215081326695866
aseg+DKT_Left-Hippocampus,0.0956326043908735,0.014300653105300778,-0.14598326433769365,0.06537188672726088,-0.09155316680131764
aseg+DKT_Left-Inf-Lat-Vent,0.08431057907368258,-0.01687015281815396,0.14128637289146878,0.0316268336798027,-0.016456495124055726
aseg+DKT_Left-Lateral-Ventricle,0.0339300239262297,-0.039277151180244,0.2713745012217529,-0.07194266460305396,0.09352560397819673
aseg+DKT_Left-Pallidum,0.11228032645928562,0.013901557835114587,-0.0728903243249484,0.031035395357974987,0.027873671826336207
aseg+DKT_Left-Putamen,0.10753637909324468,-0.00869876017230781,-0.10118012825707863,0.011167204451747209,0.05618214543251678
aseg+DKT_Left-Thalamus,0.10769543866427791,-0.010948595701116736,-0.11075645766035161,-0.042224472118705184,-0.01899798524543708
aseg+DKT_Left-VentralDC,0.12007523073542914,0.007516536423359769,-0.08886129864624447,0.05906644666734575,-0.03618806395332287
aseg+DKT_Left-choroid-plexus,0.050461424661454174,-0.041510496078503205,0.20870113058135206,-0.01088437277734745,-0.027184470269225942
aseg+DKT_Right-Accumbens-area,0.10777169350071533,-0.03519657758541945,-0.09360609002521633,0.005019366527201715,0.022550193185239303
aseg+DKT_Right-Amygdala,0.1036956243627609,-0.020063473926856527,-0.037775252730310314,0.02714911632058724,-0.11607595458621357
aseg+DKT_Right-Caudate,0.10459632716778762,-0.0449725755328997,0.08294256904168226,-0.0062542693944181785,0.04573946619090372
aseg+DKT_Right-Cerebellum-Cortex,0.09149829090439725,0.1915508933040695,0.006307239522515992,-0.028861071842841552,0.0027504710579955884
aseg+DKT_Right-Cerebellum-White-Matter,0.10015462672786705,0.15546108917852133,0.010239079208013082,-0.03620125903974489,0.01718427717093703
aseg+DKT_Right-Cerebral-White-Matter,0.12510837979972578,-0.07438605186549012,-0.0022486589061365358,-0.04004613979662081,0.026877419354381964
aseg+DKT_Right-Hippocampus,0.09114077611056119,0.011269545258251946,-0.1726162759800063,0.039230931058028856,-0.07612400443724832
aseg+DKT_Right-Inf-Lat-Vent,0.06581533832819263,-0.05663166626835184,0.1655919066991147,0.05779995931569245,-0.021815042608767307
aseg+DKT_Right-Lateral-Ventricle,0.043938475079315,-0.03922350123564097,0.2694942063385318,-0.05737868482491451,0.04931948367610195
