,n_missing
hypothalamus.HypVINN_Epiphysis,45
hypothalamus.HypVINN_L-N.opticus,26
hypothalamus.HypVINN_R-N.opticus,3
hypothalamus.HypVINN_Infundibulum,1
aseg+DKT_ctx-rh-supramarginal,0
aseg+DKT_ctx-rh-transversetemporal,0
cerebellum.CerebNet_Cbm_Left_CrusI,0
cerebellum.CerebNet_Cbm_Left_CrusII,0
cerebellum.CerebNet_Cbm_Left_IX,0
cerebellum.CerebNet_Cbm_Left_I_IV,0
cerebellum.CerebNet_Cbm_Left_V,0
cerebellum.CerebNet_Cbm_Left_VI,0
cerebellum.CerebNet_Cbm_Left_VIIIb,0
cerebellum.CerebNet_Cbm_Left_VIIb,0
cerebellum.CerebNet_Cbm_Left_X,0
cerebellum.CerebNet_Cbm_Right_CrusI,0
cerebellum.CerebNet_Cbm_Right_CrusII,0
cerebellum.CerebNet_Cbm_Right_IX,0
cerebellum.CerebNet_Cbm_Right_I_IV,0
cerebellum.CerebNet_Cbm_Left_VIIIa,0
aseg+DKT_ctx-rh-lingual,0
aseg+DKT_ctx-rh-medialorbitofrontal,0
aseg+DKT_ctx-rh-middletemporal,0
aseg+DKT_ctx-rh-paracentral,0
aseg+DKT_ctx-rh-parahippocampal,0
aseg+DKT_ctx-rh-parsopercularis,0
aseg+DKT_ctx-rh-parsorbitalis,0
aseg+DKT_ctx-rh-parstriangularis,0
aseg+DKT_ctx-rh-superiortemporal,0
aseg+DKT_ctx-rh-postcentral,0
aseg+DKT_ctx-rh-posteriorcingulate,0
aseg+DKT_ctx-rh-precentral,0
aseg+DKT_ctx-rh-precuneus,0
aseg+DKT_ctx-rh-rostralanteriorcingulate,0
aseg+DKT_ctx-rh-rostralmiddlefrontal,0
aseg+DKT_ctx-rh-superiorfrontal,0
aseg+DKT_ctx-rh-superiorparietal,0
cerebellum.CerebNet_Cbm_Right_V,0
aseg+DKT_ctx-rh-pericalcarine,0
hypothalamus.HypVINN_L-C.mammilare,0
hypothalamus.HypVINN_L-Chiasma-Opticum,0
hypothalamus.HypVINN_L-Fornix,0
aseg+DKT_Left-Amygdala,0
aseg+DKT_Left-Caudate,0
aseg+DKT_Left-Cerebellum-Cortex,0
aseg+DKT_Left-Cerebellum-White-Matter,0
aseg+DKT_Left-Cerebral-White-Matter,0
cerebellum.CerebNet_Cbm_Right_VIIIa,0
aseg+DKT_Left-Inf-Lat-Vent,0
hypothalamus.HypVINN_Tuberal-Region,0
hypothalamus.HypVINN_L-Lat-Hypothalamus,0
hypothalamus.HypVINN_L-Med-Hypothalamus,0
hypothalamus.HypVINN_L-Optic-tract,0
hypothalamus.HypVINN_L-Post-Hypothalamus,0
hypothalamus.HypVINN_R-Ant-Hypothalamus,0
hypothalamus.HypVINN_R-C.mammilare,0
aseg+DKT_Left-Hippocampus,0
cerebellum.CerebNet_Cbm_Right_VI,0
aseg+DKT_4th-Ventricle,0
cerebellum.CerebNet_Cbm_Right_VIIIb,0
cerebellum.CerebNet_Cbm_Right_VIIb,0
cerebellum.CerebNet_Cbm_Right_X,0
cerebellum.CerebNet_Cbm_Vermis,0
cerebellum.CerebNet_Cbm_Vermis_IX,0
cerebellum.CerebNet_Cbm_Vermis_VI,0
hypothalamus.HypVINN_L-Ant-Hypothalamus,0
cerebellum.CerebNet_Cbm_Vermis_VIII,0
cerebellum.CerebNet_Cbm_Vermis_X,0
cerebellum.CerebNet_Left-Cerebellum-Cortex,0
cerebellum.CerebNet_Left-Cerebellum-White-Matter,0
cerebellum.CerebNet_Right-Cerebellum-Cortex,0
cerebellum.CerebNet_Right-Cerebellum-White-Matter,0
hypothalamus.HypVINN_Ant-Commisure,0
hypothalamus.HypVINN_Hypophysis,0
cerebellum.CerebNet_Cbm_Vermis_VII,0
aseg+DKT_Right-Caudate,0
aseg+DKT_Right-Cerebellum-Cortex,0
aseg+DKT_Right-Cerebellum-White-Matter,0
aseg+DKT_Right-Cerebral-White-Matter,0
aseg+DKT_Right-Hippocampus,0
aseg+DKT_Right-Inf-Lat-Vent,0
aseg+DKT_Right-Lateral-Ventricle,0
aseg+DKT_Right-Pallidum,0
aseg+DKT_ctx-rh-lateralorbitofrontal,0
aseg+DKT_Right-Thalamus,0
aseg+DKT_Right-VentralDC,0
aseg+DKT_Right-choroid-plexus,0
aseg+DKT_WM-hypointensities,0
aseg+DKT_ctx-lh-caudalanteriorcingulate,0
aseg+DKT_ctx-lh-caudalmiddlefrontal,0
aseg+DKT_ctx-lh-cuneus,0
aseg+DKT_ctx-lh-entorhinal,0
aseg+DKT_Right-Putamen,0
aseg+DKT_Brain-Stem,0
aseg+DKT_CSF,0
aseg+DKT_Left-Accumbens-area,0
hypothalamus.HypVINN_R-Chiasma-Opticum,0
aseg+DKT_Left-Lateral-Ventricle,0
hypothalamus.HypVINN_R-Fornix,0
hypothalamus.HypVINN_R-Lat-Hypothalamus,0
hypothalamus.HypVINN_R-Med-Hypothalamus,0
aseg+DKT_Right-Amygdala,0
hypothalamus.HypVINN_R-Post-Hypothalamus,0
hypothalamus.HypVINN_Third-Ventricle,0
aseg+DKT_3rd-Ventricle,0
aseg+DKT_Left-Pallidum,0
aseg+DKT_Left-Putamen,0
aseg+DKT_Left-Thalamus,0
aseg+DKT_Left-VentralDC,0
aseg+DKT_Left-choroid-plexus,0
aseg+DKT_Right-Accumbens-area,0
hypothalamus.HypVINN_R-Optic-tract,0
aseg+DKT_ctx-lh-rostralanteriorcingulate,0
aseg+DKT_ctx-lh-rostralmiddlefrontal,0
aseg+DKT_ctx-lh-superiorfrontal,0
aseg+DKT_ctx-lh-superiorparietal,0
aseg+DKT_ctx-lh-superiortemporal,0
aseg+DKT_ctx-lh-supramarginal,0
aseg+DKT_ctx-lh-transversetemporal,0
aseg+DKT_ctx-rh-caudalanteriorcingulate,0
aseg+DKT_ctx-lh-fusiform,0
aseg+DKT_ctx-rh-cuneus,0
aseg+DKT_ctx-rh-entorhinal,0
aseg+DKT_ctx-rh-fusiform,0
aseg+DKT_ctx-rh-inferiorparietal,0
aseg+DKT_ctx-rh-inferiortemporal,0
aseg+DKT_ctx-rh-insula,0
aseg+DKT_ctx-rh-isthmuscingulate,0
aseg+DKT_ctx-rh-lateraloccipital,0
aseg+DKT_ctx-rh-caudalmiddlefrontal,0
aseg+DKT_ctx-lh-inferiorparietal,0
aseg+DKT_ctx-lh-inferiortemporal,0
aseg+DKT_ctx-lh-insula,0
aseg+DKT_ctx-lh-isthmuscingulate,0
aseg+DKT_ctx-lh-lateraloccipital,0
aseg+DKT_ctx-lh-lateralorbitofrontal,0
aseg+DKT_ctx-lh-lingual,0
aseg+DKT_ctx-lh-medialorbitofrontal,0
aseg+DKT_ctx-lh-precuneus,0
aseg+DKT_ctx-lh-paracentral,0
aseg+DKT_ctx-lh-parahippocampal,0
aseg+DKT_ctx-lh-parsopercularis,0
aseg+DKT_ctx-lh-parsorbitalis,0
aseg+DKT_ctx-lh-parstriangularis,0
aseg+DKT_ctx-lh-pericalcarine,0
aseg+DKT_ctx-lh-postcentral,0
aseg+DKT_ctx-lh-posteriorcingulate,0
aseg+DKT_ctx-lh-precentral,0
aseg+DKT_ctx-lh-middletemporal,0
