feature,PC1,PC2,PC3,PC4,PC5
aseg+DKT_3rd-Ventricle,0.050676867325996515,0.040791696895457356,0.275008059801984,0.0288641374523016,0.11876683430928678
aseg+DKT_4th-Ventricle,0.05014492691933281,0.0927693550986042,0.1465352398048544,0.05013270786348456,0.008888046214174355
aseg+DKT_Brain-Stem,0.11034489069722242,0.06428568245120064,-0.06457716548779491,-0.014393824874226864,0.07883099600521545
aseg+DKT_CSF,0.07077802603972218,0.054999067541447816,0.21349214920146437,0.0032094392344830247,-0.030514538851948658
aseg+DKT_Left-Accumbens-area,0.10892542266616306,-0.044572548576909066,-0.05150049535046619,-0.029248464660402262,-0.019054532839325428
aseg+DKT_Left-Amygdala,0.08819729801788015,-0.05734797361374144,-0.018854810736620348,0.008673625616775135,0.19688585620535576
aseg+DKT_Left-Caudate,0.0853120866642462,0.011228220386830884,0.12312537756009129,-0.018650279081310228,0.029246188865382355
aseg+DKT_Left-Cerebellum-Cortex,0.09883895061462095,0.18636105597863456,-0.04873856587609662,-0.0633713027819307,0.008004137515822629
aseg+DKT_Left-Cerebellum-White-Matter,0.1033551983636731,0.15251491552951285,-0.0312749443535707,-0.05296889857534372,0.04942202584315977
aseg+DKT_Left-Cerebral-White-Matter,0.12537235185615855,-0.05964107411962379,0.04081625010807656,-0.0038661461954625203,-0.03565571356401345
aseg+DKT_Left-Hippocampus,0.09552100730043274,-0.0477302923217224,-0.12800612353554597,-0.02064205591306254,0.13858845763301003
aseg+DKT_Left-Inf-Lat-Vent,0.03810756181568108,0.032522788010288524,0.2266208257316189,-0.012667708501620235,0.21043351664827992
aseg+DKT_Left-Lateral-Ventricle,0.029516314626536935,0.05425220407400234,0.29308762275585515,-0.0029053609811857577,0.03439894581551622
aseg+DKT_Left-Pallidum,0.10787191613228264,-0.002679776259831167,-0.04293459696023406,-0.0029950940340498938,0.045519184736236715
aseg+DKT_Left-Putamen,0.10544356428776286,-0.057000890289896994,-0.06730693029567222,-0.0406847365278408,-0.0005808793504397669
aseg+DKT_Left-Thalamus,0.10534167494751026,-0.05861210816140394,-0.06609222589216822,-0.04663418771625871,0.08293207879843949
aseg+DKT_Left-VentralDC,0.11549994586844066,-0.01512414828350157,-0.07403381437386797,0.03173696780274328,0.11481696353547356
aseg+DKT_Left-choroid-plexus,0.05192414985310587,0.038125106033866325,0.20119545165359762,0.05563733730253736,-0.05730927737512671
aseg+DKT_Right-Accumbens-area,0.0991332700407686,-0.07659081130363962,-0.06313558297619959,-0.014596384442881812,0.0022472527297950416
aseg+DKT_Right-Amygdala,0.10339492326361817,-0.04038683295881846,-0.01942609473432312,-0.015061520043619499,0.14313021553264493
aseg+DKT_Right-Caudate,0.09239880334854944,-6.825230564124771e-05,0.12563917446931697,0.00965124072577495,0.008805018615212587
aseg+DKT_Right-Cerebellum-Cortex,0.10116726213709963,0.17540145474882815,-0.05589143320375654,-0.05716424319098078,0.0025764607640391918
aseg+DKT_Right-Cerebellum-White-Matter,0.10443456035358904,0.1470946710594284,-0.03664584024141684,-0.031230472687782874,0.02697430244756923
aseg+DKT_Right-Cerebral-White-Matter,0.12516319449571794,-0.05872624310695547,0.04173259788298539,-0.006481392419110126,-0.027907685620821306
aseg+DKT_Right-Hippocampus,0.09384883075431462,-0.05637467798149823,-0.12790787374060658,-0.03040640970606871,0.16657022514448228
aseg+DKT_Right-Inf-Lat-Vent,0.04013918646268003,0.029963016435850066,0.23915949000821363,0.01234196593563015,0.19086317698619487
aseg+DKT_Right-Lateral-Ventricle,0.03545321997255516,0.05825227603420179,0.2892373616016674,0.023716878185793863,0.032870547354315126
aseg+DKT_Right-Pallidum,0.10197367452400226,-0.0073282513529342504,-0.08180613170674332,-0.03268098490566724,0.06383847938574405
aseg+DKT_Right-Putamen,0.10425657424608355,-0.059759425494191935,-0.08297619056269452,-0.03934902500209657,-0.033620727495544706
aseg+DKT_Right-Thalamus,0.11107207918829885,-0.03645188330726925,-0.013636781389103824,-0.032741883572954836,0.05981228410040595
aseg+DKT_Right-VentralDC,0.11874287911687975,-0.012779962100599626,-0.05721559415799083,0.03516837476189306,0.08514717022695434
aseg+DKT_Right-choroid-plexus,0.054806610016002545,0.04990917054624759,0.17397034135267625,0.06093212689692624,-0.0796440144682619
aseg+DKT_WM-hypointensities,0.032662029883588975,-0.009471843948352635,0.2670287952413857,-0.024819802410603126,0.10796248711554537
aseg+DKT_ctx-lh-caudalanteriorcingulate,0.10374126675895212,-0.0851423022409607,-0.0033425309543924056,-0.03845753727204925,0.08262044178692425
aseg+DKT_ctx-lh-caudalmiddlefrontal,0.08151406231278306,0.0009381968688741206,0.03335069185450343,-0.006603058485090817,0.030760028339191278
aseg+DKT_ctx-lh-cuneus,0.06784892078177145,-0.11792769771546145,-0.04758100420801414,-0.06791888163010268,0.08982598900528904
aseg+DKT_ctx-lh-entorhinal,0.07204011976525282,-0.05026716498052845,-0.010817460407664544,0.00938185326258092,0.10963138683760192
aseg+DKT_ctx-lh-fusiform,0.08957507713311436,-0.02124955634986539,-0.0034672444792521843,-0.08957581492578112,-0.06741124798061522
aseg+DKT_ctx-lh-inferiorparietal,0.08795399412038166,-0.07400111874522532,0.048469506680053946,-0.000898510044187729,-0.17015523837100816
aseg+DKT_ctx-lh-inferiortemporal,0.10108668745181981,-0.033704429197803115,0.053965485312843134,-0.016031917973438326,-0.05629095586886386
aseg+DKT_ctx-lh-insula,0.11833341235150725,-0.021606594994457332,0.019841871965039684,0.014746200168645475,-0.08667920047754127
aseg+DKT_ctx-lh-isthmuscingulate,0.08190210048053484,-0.10391924256363291,-0.039755691023727086,0.04528073999931768,0.020239138562966483
aseg+DKT_ctx-lh-lateraloccipital,0.09020414561675118,-0.08401986601172319,-0.059931579669308226,-0.006900855018972025,0.02273707367249719
aseg+DKT_ctx-lh-lateralorbitofrontal,0.11216732476541147,-0.024778581501996355,0.047797313571824256,0.005122101707484123,-0.06538266242389197
aseg+DKT_ctx-lh-lingual,0.07868356361645966,-0.09038978742555778,-0.049794252977249154,-0.07814917423841143,0.10780855729153974
aseg+DKT_ctx-lh-medialorbitofrontal,0.10536566777538635,-0.06869130364504654,0.03034053412390121,-0.02019427501165409,0.031752262135354974
aseg+DKT_ctx-lh-middletemporal,0.10565443544710787,-0.019909752100605818,0.043498846999129454,0.01235107073916591,-0.0733125459771362
aseg+DKT_ctx-lh-paracentral,0.09259069541858383,-0.08968699590520597,0.05428435013917074,-0.07004457909653457,-0.062118051715781754
aseg+DKT_ctx-lh-parahippocampal,0.04878137420386979,-0.03729111651523226,0.003937116416128552,0.055524059116037104,0.2137808450278874
aseg+DKT_ctx-lh-parsopercularis,0.08236386840746773,-0.021684117182067048,-0.0031274716440417858,-0.002314149932851125,-0.14130455336358322
aseg+DKT_ctx-lh-parsorbitalis,0.07458643720052657,-0.01784619147788766,-0.04070403708775571,-0.015894256433086687,-0.13749268213271018
aseg+DKT_ctx-lh-parstriangularis,0.07836752419410493,-0.022064635552746507,-0.08026800402675074,-0.03374641216063336,-0.030643195894984987
aseg+DKT_ctx-lh-pericalcarine,0.049203743204239536,-0.13348909392694278,-0.09052626474425578,-0.037495858131375376,0.14894405629442034
aseg+DKT_ctx-lh-postcentral,0.09141136883997956,-0.07176104327711683,0.03681860395181772,-0.029286427412091365,-0.03769667241524551
aseg+DKT_ctx-lh-posteriorcingulate,0.06734864282731927,-0.08386105408236513,-0.052019014959159726,0.04094767549758515,0.09275493747405122
aseg+DKT_ctx-lh-precentral,0.10064924801708494,-0.08712087599565752,0.011177816912641204,-0.021254931826766386,-0.041001548573754425
aseg+DKT_ctx-lh-precuneus,0.09936167751762459,-0.07638768526309235,0.054341122617973414,-0.027440035538486018,-0.056672088603142275
aseg+DKT_ctx-lh-rostralanteriorcingulate,0.09445246955911848,-0.05743287977608244,0.05229195346119384,-0.04252451606008253,0.03168638964231228
aseg+DKT_ctx-lh-rostralmiddlefrontal,0.09956692302891092,-0.044476360736282805,0.029809586348110862,-0.03949925851317979,0.08813744883958106
aseg+DKT_ctx-lh-superiorfrontal,0.11210267427127514,-0.05994687608805259,0.03729509524419897,0.0034595505168606385,0.02750054275500971
aseg+DKT_ctx-lh-superiorparietal,0.07586587182263614,-0.10479475032604585,0.052542653079848234,-0.0060787818037849875,-0.033042810955801694
aseg+DKT_ctx-lh-superiortemporal,0.10226962943575262,-0.02328530777507256,0.028664829264920227,-0.0416135007512444,-0.11212502938219493
aseg+DKT_ctx-lh-supramarginal,0.09508801212100053,-0.04785928598738541,0.031057636764454426,-0.05912404979734966,-0.20036530391675028
aseg+DKT_ctx-lh-transversetemporal,0.07152475643977156,-0.054293272614860714,-0.0221645768968823,-0.1159633947933456,-0.10905127035345849
aseg+DKT_ctx-rh-caudalanteriorcingulate,0.08277555736860279,-0.06487504309518168,0.052267882917829314,-0.03193928931480475,0.03809246676789935
aseg+DKT_ctx-rh-caudalmiddlefrontal,0.09268866233940842,-0.049614670313187684,0.04129156595649085,0.008709500044700832,0.028774894926245548
aseg+DKT_ctx-rh-cuneus,0.07144936077542235,-0.10894041581371548,-0.06315538949966007,-0.09268270220673742,0.1880747895680781
aseg+DKT_ctx-rh-entorhinal,0.07116320244816722,-0.048202982707546214,0.01583848254692015,0.009198141934050217,-0.10194732193817461
