fold,feature_rank_in_fold,feature_index,feature_name
1,0,242,Right_Hippocampus_original_shape_Sphericity_delta
1,1,243,Right_Thalamus_original_shape_Sphericity_delta
1,2,244,Left_Hippocampus_original_shape_SurfaceArea_delta
1,3,245,Left_Thalamus_original_shape_SurfaceArea_delta
1,4,246,Right_Hippocampus_original_shape_SurfaceArea_delta
1,5,247,Right_Thalamus_original_shape_SurfaceArea_delta
1,6,249,Left_Thalamus_original_shape_SurfaceVolumeRatio_delta
1,7,251,Right_Thalamus_original_shape_SurfaceVolumeRatio_delta
1,8,252,Left_Hippocampus_original_shape_VoxelVolume_delta
1,9,257,age
